name,x,y,isfloor
E-4留学生外籍教师综合楼,2683,471,0
E-00西餐厅,2754,572,0
E-3宿舍,2884,655,0
E-2宿舍,2868,764,0
学生公寓服务中心,2860,896,0
E-0食堂,2860,998,1
E-1校医院,2869,1115,0
拐点12,2868,1231,0
拐点11,2515,1245,0
拐点10,2509,1301,0
拐点9,2394,1295,0
拐点7,2388,1406,0
拐点8,2518,1517,0
D-2体育馆(西),2507,1406,1
拐点6,2388,1511,0
D-3中德智能建造学院商学院,2218,1407,0
拐点5,2111,1413,0
D-1城市交通与物流学院,2111,1499,0
拐点4,2112,1571,0
C-4会堂(南),1873,1420,0
F6,1638,1251,1
C-00食堂,1273,1237,0
F5,1318,1249,1
马克思主义学院,1628,1409,1
C-1人工智能学院,1881,1555,1
拐点2,1630,1469,0
拐点3,1634,1576,1
C-3行政与公共服务中心综合楼,1342,1399,0
C-2图书馆,1335,1542,0   
新材料与新能源学院外国语学院集成电路与光电芯片学院,843,1409,0
创意设计学院,823,1541,0
拐点1,876,1622,0
健康与环境工程学院药学院口腔学院,865,1951,0
A-0食堂,853,2124,0
拐点0,764,2134,0
D-2体育馆(北),2746,1234,0
楼梯1,2115,1457,1
楼梯2,1118,1580,1
楼梯3,859,2036,1
南区操场,1000,2040,0
拐点13,1964,1245,0
竹韵食堂,1883,1146,0
C-4会堂(北),1805,1251,0
F1,1716,1208,0
F2,1331,1190,0
F3,1332,1092,0
F4,1546,984,0
F7,1207,968,0
F8,1481,924,0
F9,1141,898,0
F10,1372,803,0
拐点14,1438,717,0
拐点15,2080,516,0
先进材料测试技术研究中心工程物理学院,684,1053,0
1034酒店,433,1082,0
国际学术交流中心,398,1132,0
